date,location,hits
2012-03-04,Colorado,NA
2012-03-04,Connecticut,NA
2012-03-04,Delaware,NA
2012-03-04,Florida,NA
2012-03-04,Idaho,NA
2012-03-04,Mississippi,NA
2012-03-04,Montana,NA
2012-03-04,North Dakota,NA
2012-03-04,Nebraska,NA
2012-03-04,New Hampshire,NA
2012-03-04,Oregon,NA
2012-03-04,Rhode Island,NA
2012-03-04,South Dakota,NA
2012-03-04,Utah,NA
2012-03-04,Wyoming,NA
2012-03-05,Maine,100
2012-03-05,District of Columbia,84
2012-03-05,New Mexico,64
2012-03-05,Mississippi,56
2012-03-05,Arkansas,50
2012-03-05,Kansas,46
2012-03-05,Louisiana,46
2012-03-05,Iowa,42
2012-03-05,Wisconsin,42
2012-03-05,Oklahoma,37
2012-03-05,Arizona,33
2012-03-05,Kentucky,30
2012-03-05,Oregon,28
2012-03-05,Maryland,26
2012-03-05,Michigan,25
2012-03-05,Missouri,21
2012-03-05,Minnesota,20
2012-03-05,Indiana,19
2012-03-05,Colorado,19
2012-03-05,Illinois,16
2012-03-05,North Carolina,16
2012-03-05,Ohio,15
2012-03-05,Massachusetts,15
2012-03-05,Washington,15
2012-03-05,New York,14
2012-03-05,Virginia,12
2012-03-05,New Jersey,12
2012-03-05,California,11
2012-03-05,Texas,10
2012-03-05,Pennsylvania,9
2012-03-05,Florida,8
2012-03-05,Alaska,NA
2012-03-05,Alabama,NA
2012-03-05,Connecticut,NA
2012-03-05,Delaware,NA
2012-03-05,Georgia,NA
2012-03-05,Hawaii,NA
2012-03-05,Idaho,NA
2012-03-05,Montana,NA
2012-03-05,North Dakota,NA
2012-03-05,Nebraska,NA
2012-03-05,New Hampshire,NA
2012-03-05,Nevada,NA
2012-03-05,Rhode Island,NA
2012-03-05,South Carolina,NA
2012-03-05,South Dakota,NA
2012-03-05,Tennessee,NA
2012-03-05,Utah,NA
2012-03-05,Vermont,NA
2012-03-05,West Virginia,NA
2012-03-05,Wyoming,NA
2012-03-06,Delaware,100
2012-03-06,West Virginia,35
2012-03-06,Hawaii,34
2012-03-06,Idaho,31
2012-03-06,Kansas,20
2012-03-06,Iowa,17
2012-03-06,Nevada,15
2012-03-06,Louisiana,12
2012-03-06,Connecticut,12
2012-03-06,Georgia,10
2012-03-06,Missouri,8
2012-03-06,Wisconsin,8
2012-03-06,New Jersey,8
2012-03-06,Indiana,8
2012-03-06,Colorado,8
2012-03-06,Pennsylvania,7
2012-03-06,Maryland,7
2012-03-06,Arizona,7
2012-03-06,Michigan,5
2012-03-06,Virginia,5
2012-03-06,North Carolina,4
2012-03-06,Ohio,4
2012-03-06,Illinois,3
2012-03-06,Texas,3
2012-03-06,Florida,3
2012-03-06,California,2
2012-03-06,New York,2
2012-03-06,Alaska,NA
2012-03-06,Alabama,NA
2012-03-06,Arkansas,NA
2012-03-06,District of Columbia,NA
2012-03-06,Kentucky,NA
2012-03-06,Massachusetts,NA
2012-03-06,Maine,NA
2012-03-06,Minnesota,NA
2012-03-06,Mississippi,NA
2012-03-06,Montana,NA
2012-03-06,North Dakota,NA
2012-03-06,Nebraska,NA
2012-03-06,New Hampshire,NA
2012-03-06,New Mexico,NA
2012-03-06,Oklahoma,NA
2012-03-06,Oregon,NA
2012-03-06,Rhode Island,NA
2012-03-06,South Carolina,NA
2012-03-06,South Dakota,NA
2012-03-06,Tennessee,NA
2012-03-06,Utah,NA
2012-03-06,Vermont,NA
2012-03-06,Washington,NA
2012-03-06,Wyoming,NA
2012-03-07,Alaska,100
2012-03-07,District of Columbia,54
2012-03-07,Idaho,35
2012-03-07,Arkansas,24
2012-03-07,Kansas,22
2012-03-07,Iowa,20
2012-03-07,Louisiana,14
2012-03-07,Alabama,13
2012-03-07,Ohio,13
2012-03-07,Oregon,12
2012-03-07,New Jersey,11
2012-03-07,Washington,10
2012-03-07,Missouri,10
2012-03-07,Indiana,9
2012-03-07,Pennsylvania,8
2012-03-07,Tennessee,8
2012-03-07,Michigan,6
2012-03-07,North Carolina,5
2012-03-07,Texas,5
2012-03-07,Florida,4
2012-03-07,Georgia,4
2012-03-07,Illinois,4
2012-03-07,California,3
2012-03-07,New York,2
2012-03-07,Arizona,NA
2012-03-07,Colorado,NA
2012-03-07,Connecticut,NA
2012-03-07,Delaware,NA
2012-03-07,Hawaii,NA
2012-03-07,Kentucky,NA
2012-03-07,Massachusetts,NA
2012-03-07,Maryland,NA
2012-03-07,Maine,NA
2012-03-07,Minnesota,NA
2012-03-07,Mississippi,NA
2012-03-07,Montana,NA
2012-03-07,North Dakota,NA
2012-03-07,Nebraska,NA
2012-03-07,New Hampshire,NA
2012-03-07,New Mexico,NA
2012-03-07,Nevada,NA
2012-03-07,Oklahoma,NA
2012-03-07,Rhode Island,NA
2012-03-07,South Carolina,NA
2012-03-07,South Dakota,NA
2012-03-07,Utah,NA
2012-03-07,Virginia,NA
2012-03-07,Vermont,NA
2012-03-07,Wisconsin,NA
2012-03-07,West Virginia,NA
2012-03-07,Wyoming,NA
2012-03-08,North Dakota,100
2012-03-08,Idaho,44
2012-03-08,Arkansas,28
2012-03-08,Oklahoma,20
2012-03-08,Missouri,17
2012-03-08,Oregon,15
2012-03-08,South Carolina,15
2012-03-08,New Jersey,13
2012-03-08,Indiana,11
2012-03-08,Georgia,11
2012-03-08,Ohio,11
2012-03-08,Colorado,11
2012-03-08,Pennsylvania,10
2012-03-08,Washington,8
2012-03-08,California,8
2012-03-08,New York,7
2012-03-08,Michigan,7
2012-03-08,Illinois,5
2012-03-08,Texas,4
2012-03-08,Florida,3
2012-03-08,Alaska,NA
2012-03-08,Alabama,NA
2012-03-08,Arizona,NA
2012-03-08,Connecticut,NA
2012-03-08,District of Columbia,NA
2012-03-08,Delaware,NA
2012-03-08,Hawaii,NA
2012-03-08,Iowa,NA
2012-03-08,Kansas,NA
2012-03-08,Kentucky,NA
2012-03-08,Louisiana,NA
2012-03-08,Massachusetts,NA
2012-03-08,Maryland,NA
2012-03-08,Maine,NA
2012-03-08,Minnesota,NA
2012-03-08,Mississippi,NA
2012-03-08,Montana,NA
2012-03-08,North Carolina,NA
2012-03-08,Nebraska,NA
2012-03-08,New Hampshire,NA
2012-03-08,New Mexico,NA
2012-03-08,Nevada,NA
2012-03-08,Rhode Island,NA
2012-03-08,South Dakota,NA
2012-03-08,Tennessee,NA
2012-03-08,Utah,NA
